@0000 00000000
@0001 13D40000
@0002 22F90000
@0003 29DC0000
@0004 26DC0000
@0005 1AAF0000
@0006 08340000
@0007 F3CB0000
@0008 E2420000
@0009 D7C00000
@000A D6BF0000
@000B DF7D0000
@000C EFE80000
@000D 041F0000
@000E 175E0000
@000F 25180000
@0010 2A0F0000
@0011 25180000
@0012 175E0000
@0013 041F0000
@0014 EFE80000
@0015 DF7D0000
@0016 D6BF0000
@0017 D7C00000
@0018 E2420000
@0019 F3CB0000
@001A 08340000
@001B 1AAF0000
@001C 26DC0000
@001D 29DC0000
@001E 22F90000
@001F 13D40000
@0020 00000000
@0021 EC2C0000
@0022 DD070000
@0023 D6240000
@0024 D9240000
@0025 E5510000
@0026 F7CC0000
@0027 0C350000
@0028 1DBE0000
@0029 28400000
@002A 29410000
@002B 20830000
@002C 10180000
@002D FBE10000
@002E E8A20000
@002F DAE80000
@0030 D5F00000
@0031 DAE80000
@0032 E8A20000
@0033 FBE10000
@0034 10180000
@0035 20830000
@0036 29410000
@0037 28400000
@0038 1DBE0000
@0039 0C350000
@003A F7CC0000
@003B E5510000
@003C D9240000
@003D D6240000
@003E DD070000
@003F EC2C0000
